Zimbabwe;34;36;37;0;25;38;38;37;24;31
Mozambique;38;8;25;0;33;23;20;35;21;29
Malawi;28;22;23;0;21;20;35;31;26;23
Zambia;38;28;33;0;36;28;25;35;34;29
Tanzania;39;24;39;0;35;20;38;37;33;37
Burundi;22;30;34;0;25;26;20;39;29;29
Rwanda;28;30;24;0;28;28;32;35;30;37
Uganda;23;31;22;0;33;31;32;26;26;36
Kenya;26;30;30;0;31;24;37;28;38;34
Somalia;36;22;30;0;22;28;30;35;32;37
Ethiopia;29;37;30;0;28;38;37;36;32;24
Djibouti;35;21;36;0;31;26;31;37;33;33
Eritrea;38;35;23;0;23;33;30;36;29;24
Sudan;24;21;29;0;21;35;29;36;29;21
Central African Republic;29;20;38;0;32;25;26;38;27;30
Chad;30;36;26;0;24;33;38;33;29;29
Niger;39;39;24;0;37;30;22;28;31;37
Mali;29;21;36;0;20;28;28;30;8;33
Algeria;38;23;37;16;38;32;36;39;25;36
Marocco;32;30;36;0;35;20;33;39;29;30
Tunisia;30;8;31;0;39;25;27;28;26;21
Lybia;30;30;32;0;34;32;35;23;37;34
Egypt;16;37;23;0;29;27;35;34;33;30
Israel;23;30;37;0;34;34;22;28;24;20
Palestine;36;39;34;0;35;38;38;22;37;30
Jordan;27;30;33;0;34;29;39;32;36;25
Saudi Arabia;32;26;20;0;30;36;26;37;32;34
Yemen;32;23;21;0;35;39;21;26;36;39
Oman;16;34;31;0;21;38;25;35;30;20
United Arab Emirates;8;37;26;0;22;33;30;27;21;29
Qatar;22;24;27;0;32;29;38;33;31;35
Bahrain;31;36;22;0;25;21;35;26;21;32
Kuwait;30;24;24;0;29;37;32;21;36;23
Iraq;64;38;24;0;34;29;31;30;29;33
Syria;21;24;37;0;35;23;30;36;30;30
Lebanon;26;32;24;0;38;39;39;32;25;21
Cyprus;34;31;22;0;24;23;35;23;26;32
Turkey;61;49;77;48;87;43;53;44;68;77
Greece;21;8;20;0;27;26;21;27;16;32
Albania;27;24;25;0;22;39;38;34;28;38
North Macedonia;27;36;16;0;38;26;36;39;25;32
Yugoslavia;38;23;23;0;30;30;31;20;32;23
Croatia;39;23;20;0;24;39;23;37;37;27
Slovenia;22;21;27;0;20;33;34;34;21;21
Italy;32;22;28;32;29;28;21;24;33;33
San-Marino;38;25;24;0;31;21;29;28;26;25
Vatican;35;29;27;0;35;28;30;23;38;36
Switzerland;28;25;29;0;34;24;26;38;26;22
Monaco;30;31;20;0;22;37;35;38;29;20
Andorra;29;20;26;0;20;28;35;37;33;35
Spain;20;40;20;16;48;37;32;34;32;30
Portugal;29;21;35;0;38;38;21;27;24;32
Ireland;34;20;34;32;22;22;34;33;35;21
Iceland;21;37;37;0;39;23;30;27;20;30
Denmark;22;27;32;0;36;21;31;29;35;38
Norway;48;23;35;0;37;32;26;30;27;23
Sweden;34;40;20;24;33;24;23;33;24;22
Finland;32;32;29;0;27;27;24;33;25;33
Estonia;39;33;20;0;36;33;33;38;34;39
Latvia;38;32;26;0;26;37;39;24;35;24
Lithuania;35;23;23;0;39;29;29;37;27;28
Poland;28;38;25;0;25;22;26;21;30;37
Germany;69;126;73;73;106;73;66;73;47;65
Luxemburg;22;160;27;0;24;29;21;32;38;31
Belgium;31;25;38;0;28;21;33;29;24;38
Netherlands;39;25;35;0;24;31;23;24;23;29
Austria;34;36;32;0;36;25;20;25;37;27
Czechoslovakia;36;88;33;0;72;38;36;29;37;37
Hungary;26;35;37;0;30;20;39;24;20;36
Romania;40;34;37;16;21;20;38;40;29;31
Bulgaria;23;26;25;0;22;37;27;24;37;22
Moldavia;31;30;21;0;31;23;24;27;37;22
Transnistria;32;34;33;0;22;36;33;39;26;35
Ukraine;39;72;38;0;80;25;33;38;24;33
Belarus;39;32;28;0;27;25;30;30;22;39
Russia;296;339;44;73;107;147;72;59;144;47
China;111;121;133;137;156;65;78;51;76;55
Taiwan;33;24;24;0;34;26;37;20;33;23
Vietnam;37;37;22;0;24;30;37;29;30;39
Cambodia;27;27;22;0;25;31;27;37;26;31
Laos;38;24;35;0;36;21;38;34;31;23
Thailand;20;38;36;0;20;20;33;39;26;21
Burma;39;32;23;0;24;32;27;29;36;39
Bangladesh;24;31;28;0;29;31;29;29;35;32
India;64;26;64;40;32;35;28;21;27;23
Sri Lanka;32;29;23;0;32;34;37;38;39;33
Nepal;27;28;24;0;39;25;29;29;22;33
Bhutan;24;33;22;0;35;37;24;22;29;29
Pakistan;26;38;27;0;29;37;30;38;20;28
Afghanistan;37;27;31;0;27;31;37;28;25;20
Tajikistan;25;36;36;8;29;36;23;27;27;30
Kyrgyzstan;22;25;32;0;33;30;28;33;29;29
Kazakh ASSR;37;70;48;77;56;51;32;32;50;53
Uzbekistan;29;28;25;0;38;22;24;16;23;24
Turkmenistan;21;24;39;0;22;23;29;8;32;34
Iran;80;38;21;0;36;39;20;21;36;32
Azerbaijan;72;33;39;0;24;33;32;23;29;26
Armenia;38;26;23;0;24;23;30;21;28;26
Georgia;26;32;32;0;39;35;28;26;36;35
Malaysia;32;22;39;0;24;21;23;22;37;35
Indonesia;48;27;25;0;37;33;33;16;24;36
Papua New Guinea;25;30;32;0;20;36;36;24;37;16
Philippines;27;38;24;0;35;34;29;23;22;31
North Korea;21;35;31;0;37;29;36;21;36;34
South Korea;28;30;20;0;35;34;26;39;32;28
Japan;34;38;24;32;24;28;29;38;26;34
Solomon Islands;25;29;16;0;28;26;31;35;39;34
New Zealand;33;27;34;0;25;26;28;35;35;24
Fiji;29;39;28;0;36;23;26;20;35;37
Australia;24;16;31;32;37;32;36;28;30;32
East Timor;28;31;29;0;29;29;30;36;29;27
Madagascar;21;25;25;0;35;33;37;26;32;28
Mongolia;28;27;21;0;35;27;32;34;23;34
Malta;23;34;25;0;32;24;20;37;38;32
Slovakia;39;29;29;0;29;20;35;37;25;35
Czechia;35;30;31;0;25;37;37;33;39;25
USSR;35;21;24;0;37;24;38;25;26;39
Zapadoslavia;26;31;22;0;22;26;35;31;28;29
Byzantium;31;23;34;0;20;21;38;35;36;20
Sparta;26;34;32;0;35;37;24;33;20;36
Great Macedonia;20;31;33;0;20;33;22;35;28;33
Transcaucasia;22;20;27;0;26;20;32;29;22;25
United Arab Republic;23;35;38;0;23;37;36;35;20;35
Gran Colombia;37;30;33;0;36;39;38;29;21;25
Turkic Union;39;38;35;0;31;32;28;31;26;38
Scandinavia;36;35;33;0;25;31;28;20;28;36
Intermarium;36;24;29;0;24;39;32;34;31;22
Sich;30;28;33;0;32;22;26;28;31;34
Roman Empire;26;38;35;0;36;30;37;21;21;31
Great Germania;33;34;25;0;34;34;23;30;24;37
Prussia;24;36;31;0;30;34;23;26;36;21
Great Moravia;23;20;31;0;24;35;28;24;35;25
Mongol Empire;29;23;37;0;24;22;36;24;39;36
Korea;33;38;27;0;28;37;37;20;23;21
Abyssinia;26;34;21;0;22;23;25;30;36;37
Holy Roman Empire;22;34;21;0;29;36;25;23;29;35
The Papal State;24;26;31;0;32;27;22;21;37;23
Francia;30;32;31;0;39;35;21;22;25;22
Great Britain;24;38;38;0;24;28;33;36;25;31
Iberia;36;22;23;0;34;29;20;27;24;27
Baltia;38;32;22;0;34;24;22;34;31;26
Polish-Lithuanian Commonwealth;36;33;30;0;31;31;24;28;20;27
Union of Socialist Balkan Republics;29;26;34;0;32;30;32;36;27;27
Ruthenia;28;37;25;0;38;28;27;24;26;33
Cossackia;22;26;24;0;22;37;37;31;33;39
Bosnia;29;29;36;0;21;26;22;22;29;30
Serbia;33;26;29;0;22;37;24;24;31;21
Turkestan;32;29;24;0;39;35;28;38;39;27
Tatarstan;23;32;22;0;25;27;22;29;38;25
Far Eastern Autonomy;33;24;24;0;27;20;29;21;37;23
Ural;26;34;24;0;32;24;27;33;26;20
Novgorod;22;26;39;0;37;21;26;32;31;39
State of Siberia;30;29;33;0;22;25;33;26;34;32
Tsaritsyn;32;38;39;0;21;25;24;31;25;22
Kazakhstan;25;32;36;0;34;26;24;39;32;38
