Alaska;USA Army 1
North Macedonia;North Macedonia Army 1
Kosovo;
Montenegro;
Bosnia;
Serbia;Yugoslavia Army 1
Vojvodina;
Croatia;Croatia Army 1
Slovenia;Slovenia Army 1
Northeast Italy;Italy Army 1
San-Marino;
Central Italy;
Vatican;
South Italy;Italy Army 2
Sardinia and Sicily;
Northwest Italy;
Switzerland;Switzerland Army 1
Monaco;
Auvergne-Rhone-Alpes;
Provence-Alpes-Cote d'Azur;
Corsica;
Occitanie;
Nouvelle-Aquitaine;
Pays de la Loire;
Centre-Val de Loire;
Bourgogne-Franche-Comte;
Grand-Est;France Army 3
Hauts-de-France;
Ile-de-France;France Army 1
Normandy;France Army 2
Brittany;
Andorra;
Northwest Spain;
Northeast Spain;
East Spain;Spain Army 1
Central Spain;
Madrid;Spain Army 2
South Spain;
Canary Islands;
Gibraltar;
Ceuta;
Continental Portugal;Portugal Army 1
Azores;
Madeira;
Ireland;Ireland Army 1
North Ireland;
Scotland;UK Army 3
Northeast England;
Yorkshire;
Northwest England;
Wales;UK Army 2
Southwest England;
West Midlands of England;
East Midlands of England;
East of England;
Southeast England;
London;UK Army 1
Iceland;
Greenland;
Foroe Islands;
Denmark;Denmark Army 1
Norway;Norway Army 1
North Sweden;
South Sweden;
East Sweden;Sweden Army 1
Aland;
Mainland Finland;Finland Army 1
Estonia;Estonia Army 1
Latvia;Latvia Army 1
Lithuania;Lithuania Army 1
Warmia-Mazuria;
Podlaskie;
Lesser Poland;
Mazovia;
Silezia;
Greater Poland;Poland Army 1
Pomerania;
Mecklenburg-Vorpommern;
Schleswig-Holstein;
Hamburg;
Niedersachsen;Germany Army 2
Nordhein-Westfalen;
Hessen;
Thuringen;
Sachsen-Anhalt;
Brandenburg;
Berlin;Germany Army 1
Sachsen;
Bayern;Germany Army 3
Baden-Wurttemberg;
Rheinland-Pfalz;
Saarland;
Luxemburg;Luxemburg Army 1
Wallonia;
Flanders;
Brussels;Belgium Army 1
West Netherlands;
South Netherlands;
East Netherlands;Netherlands Army 1
North Netherlands;
West Austria;
South Austria;
East Austria;Austria Army 1
Bohemia;Czechoslovakia Army 1
Moravia;
Slovakia;
Transdanubia;
Central Hungary;Hungary Army 1
Great Plain and North;
Northwest Romania;
Southwest Romania;
South Romania;Romania Army 1
East Romania;
Nothern and Eastern Bulgaria;
Southern and Western Bulgaria;Bulgaria Army 1
Moldavia;Moldavia Army 1
Transnistria;Transnistria Army 1
Southern Ukraine;
Crimea;Ukraine Army 1
Eastern Ukraine;
Central Ukraine;
Kiev;
Western Ukraine;Ukraine Army 2
Belarus;
Minsk;Belarus Army 1
Kaliningrad;
Northwest Russia;Russia Army 1
North Russia;
Central Russia;
Moscow;Russia Army 2
Central Black-Earth;
North Caucasus;
Volga;
Volga-Vyatka;
Ural;
West Siberia;
East Siberia;
Far East;
Manchuria;
Outer Mongolia;
Hebei;
Beijing;China Army 1
Shanxi;
Shaanxi;
Ningxia;
Gansu;
Xinjiang;
Qinghai;
Tibet;China Army 2
Sichuan;
Yunnan;
Guizhou;
Chongqing;
Hubei;
Henan;
Shandong;
Jiangsu;
Anhui;
Jiangxi;
Zhejiang;
Fujian;
Guang dong;China Army 3
Hong Kong;
Hainan;
Guangxi;
Hunan;
Taiwan;Taiwan Army 1
North Vietnam;Vietnam Army 1
Central Vietnam;
South Vietnam;
Cambodia;Cambodia Army 1
Laos;Laos Army 1
Isan;
East Thailand;
Central Thailand;Thailand Army 1
South Thailand;
North Thailand;
Burma;Burma Army 1
Bangladesh;Bangladesh Army 1
North Eastern India;
Eastern India;
Central India;India Army 1
Northern India;India Army 2
Western India;
South India;
Sri Lanka;Sri Lanka Army 1
Nepal;Nepal Army 1
Bhutan;Bhutan Army 1
Sindh;Pakistan Army 1
Balochistan;
Punjab;
North Pakistan;
Afghanistan;Afghanistan Army 1
Tajikistan;Tajikistan Army 1
Kyrgyzstan;Kyrgyzstan Army 1
Kazakh Desert;
Tyan Shan;
Central Highlands;
North Kazakhstan;Kazakh ASSR Army 1
Mugodzhar Hills;
Turanian Lowlands;Kazakh ASSR Army 2
Uzbekistan;Uzbekistan Army 1
Turkmenistan;Turkmenistan Army 1
Mashhad;
Isfahan;
Tehran;Iran Army 1
Kermanshah;
Tabriz;
Azerbaijan;Azerbaijan Army 1
Armenia;Armenia Army 1
Georgia;Georgia Army 1
Northern Malaysia;
Malaysian East Coast;
Central Malaysia;Malaysia Army 1
Southern Malaysia;
East Malaysia;
Singapore;
Brunei;
Sumatra;Indonesia Army 1
Java;
Kalimantan;
Bali;
Sulawesi;Indonesia Army 2
Nusa Tenggara;
Maluku;
Papua;
Papua New Guinea;Papua New Guinea Army 1
Southern Philippines;
Central Philippines;Philippines Army 1
Northern Philippines;
Pyongan;
Baekdu Mountains;North Korea Army 2
Donghae Coast;
Hwanghae;North Korea Army 1
Gyeonggi;
Gangwon;
Gyeongsang;
Jeolla;South Korea Army 1
Chungcheong;South Korea Army 2
Hokkaido;
Tohoku;
Kanto;Japan Army 1
Chubu;
Kansai;
Chuhoku;
Shikoku;
Kyushu;
Solomon Islands;Solomon Islands Army 1
New Caledonia;
New Zealand;New Zealand Army 1
Fiji;Fiji Army 1
Victoria;Australia Army 1
New South Wales;
Queensland;
Northern Territory;
Western Australia;
South Australia;
East Timor;East Timor Army 1
Madagascar;Madagascar Army 1
Falklands;
Mongolia;Mongolia Army 1
Malta;Malta Army 1
